saif,subkind,class_top,class_full,group_top,group_full,sum
נשיא המדינה ולשכתו,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,משרדים נוספים,0.0
משרד החינוך,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,חינוך,2034399.0
משרד הרווחה והשירותים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,רווחה,0.0
משרד הכלכלה,תקציב רגיל,העברות,תשלומי העברה סוציאליים,ענפי משק,תעשיה ותעסוקה,0.0
תמיכות בענפי המשק,תקציב רגיל,קניות,קניות בארץ,ענפי משק,תעשיה ותעסוקה,1291332.0
משרד לביטחון פנים,תקציב רגיל,העברות  פנים תקציביות,הפחתות,בטחון וסדר ציבורי,בטחון פנים,4179126.0
"משרד המדע והחלל, התרבות",תקציב רגיל,העברות,רזרבה,שירותים חברתיים,"מדע, תרבות וספורט",793182.0
משרד הרווחה והשירותים,תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,רווחה,675251.0
שיכון,תקציב פיתוח,השקעה,רזרבה,תשתיות,בינוי ושיכון,616072.0
משרד האנרגיה והמים,תקציב רגיל,קניות,רזרבה,תשתיות,אנרגיה,11931.0
משרד המשפטים,תקציב רגיל,שכר,רזרבה,משרדי מטה,משפטים,95330.0
משרד ראש הממשלה,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,ראש הממשלה,272266.0
משרד הבטחון,תקציב רגיל,שכר,רזרבה,בטחון וסדר ציבורי,בטחון,54917220.0
משרד הבריאות,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,שירותים חברתיים,בריאות,8114.0
משרד ראש הממשלה,תקציב רגיל,העברות  פנים תקציביות,הפחתות,משרדי מטה,ראש הממשלה,4559.0
דיור ממשלתי,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,משרדי מטה,אוצר,46556.0
דיור ממשלתי,תקציב פיתוח,השקעה,השקעה בארץ,משרדי מטה,אוצר,52900.0
תשלום חובות,החזר חובות,החזר חוב - קרן,החזר קרן בארץ,החזרי חוב,קרן,68856000.0
פיתוח לאומי,מפעלים עסקיים,העברות,מוצרים ציבוריים,משרדי מטה,ראש הממשלה,1000000.0
המשרד לשירותי דת,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,משרדי מטה,שירותי דת,11085.0
רזרבה כללית,רזרבות,רזרבות,רזרבה כללית,הוצאות אחרות,רזרבה,9338972.0
משרד לביטחון פנים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,בטחון וסדר ציבורי,בטחון פנים,6396857.0
בתי חולים ממשלתים,מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,בריאות,9975357.0
