,day,hour,N,per_day_per_hour,day2
25,Monday,0,4,1,0
26,Monday,1,2,0.5,0
27,Monday,2,1,0.25,0
28,Monday,3,0,0,0
29,Monday,4,0,0,0
30,Monday,5,0,0,0
31,Monday,6,2,0.5,0
32,Monday,7,3,0.75,0
33,Monday,8,3,0.75,0
34,Monday,9,5,1.25,0
35,Monday,10,11,2.75,0
36,Monday,11,5,1.25,0
37,Monday,12,1,0.25,0
38,Monday,13,3,0.75,0
39,Monday,14,2,0.5,0
40,Monday,15,11,2.75,0
41,Monday,16,5,1.25,0
42,Monday,17,8,2,0
43,Monday,18,1,0.25,0
44,Monday,19,6,1.5,0
45,Monday,20,13,3.25,0
46,Monday,21,4,1,0
47,Monday,22,4,1,0
48,Monday,23,5,1.25,0
121,Tuesday,0,6,1.5,1
122,Tuesday,1,5,1.25,1
123,Tuesday,2,1,0.25,1
124,Tuesday,3,0,0,1
125,Tuesday,4,0,0,1
126,Tuesday,5,0,0,1
127,Tuesday,6,1,0.25,1
128,Tuesday,7,2,0.5,1
129,Tuesday,8,0,0,1
130,Tuesday,9,2,0.5,1
131,Tuesday,10,3,0.75,1
132,Tuesday,11,4,1,1
133,Tuesday,12,5,1.25,1
134,Tuesday,13,4,1,1
135,Tuesday,14,4,1,1
136,Tuesday,15,4,1,1
137,Tuesday,16,5,1.25,1
138,Tuesday,17,5,1.25,1
139,Tuesday,18,4,1,1
140,Tuesday,19,2,0.5,1
141,Tuesday,20,6,1.5,1
142,Tuesday,21,5,1.25,1
143,Tuesday,22,3,0.75,1
144,Tuesday,23,2,0.5,1
145,Wednesday,0,9,2.25,2
146,Wednesday,1,0,0,2
147,Wednesday,2,1,0.25,2
148,Wednesday,3,0,0,2
149,Wednesday,4,0,0,2
150,Wednesday,5,4,1,2
151,Wednesday,6,2,0.5,2
152,Wednesday,7,3,0.75,2
153,Wednesday,8,2,0.5,2
154,Wednesday,9,4,1,2
155,Wednesday,10,0,0,2
156,Wednesday,11,2,0.5,2
157,Wednesday,12,4,1,2
158,Wednesday,13,3,0.75,2
159,Wednesday,14,6,1.5,2
160,Wednesday,15,4,1,2
161,Wednesday,16,4,1,2
162,Wednesday,17,3,0.75,2
163,Wednesday,18,1,0.25,2
164,Wednesday,19,1,0.25,2
165,Wednesday,20,3,0.75,2
166,Wednesday,21,3,0.75,2
167,Wednesday,22,8,2,2
168,Wednesday,23,4,1,2
97,Thursday,0,3,0.6,3
98,Thursday,1,1,0.2,3
99,Thursday,2,2,0.4,3
100,Thursday,3,0,0,3
101,Thursday,4,1,0.2,3
102,Thursday,5,1,0.2,3
103,Thursday,6,3,0.6,3
104,Thursday,7,1,0.2,3
105,Thursday,8,4,0.8,3
106,Thursday,9,5,1,3
107,Thursday,10,6,1.2,3
108,Thursday,11,9,1.8,3
109,Thursday,12,7,1.4,3
110,Thursday,13,7,1.4,3
111,Thursday,14,3,0.6,3
112,Thursday,15,6,1.2,3
113,Thursday,16,6,1.2,3
114,Thursday,17,5,1,3
115,Thursday,18,5,1,3
116,Thursday,19,2,0.4,3
117,Thursday,20,9,1.8,3
118,Thursday,21,2,0.4,3
119,Thursday,22,5,1,3
120,Thursday,23,5,1,3
1,Friday,0,1,0.2,4
2,Friday,1,1,0.2,4
3,Friday,2,0,0,4
4,Friday,3,1,0.2,4
5,Friday,4,1,0.2,4
6,Friday,5,2,0.4,4
7,Friday,6,1,0.2,4
8,Friday,7,0,0,4
9,Friday,8,1,0.2,4
10,Friday,9,1,0.2,4
11,Friday,10,6,1.2,4
12,Friday,11,2,0.4,4
13,Friday,12,5,1,4
14,Friday,13,9,1.8,4
15,Friday,14,5,1,4
16,Friday,15,6,1.2,4
17,Friday,16,4,0.8,4
18,Friday,17,6,1.2,4
19,Friday,18,5,1,4
20,Friday,19,6,1.2,4
21,Friday,20,8,1.6,4
22,Friday,21,2,0.4,4
23,Friday,22,5,1,4
24,Friday,23,8,1.6,4
49,Saturday,0,2,0.4,5
50,Saturday,1,5,1,5
51,Saturday,2,3,0.6,5
52,Saturday,3,4,0.8,5
53,Saturday,4,1,0.2,5
54,Saturday,5,1,0.2,5
55,Saturday,6,2,0.4,5
56,Saturday,7,1,0.2,5
57,Saturday,8,5,1,5
58,Saturday,9,4,0.8,5
59,Saturday,10,5,1,5
60,Saturday,11,4,0.8,5
61,Saturday,12,6,1.2,5
62,Saturday,13,2,0.4,5
63,Saturday,14,6,1.2,5
64,Saturday,15,2,0.4,5
65,Saturday,16,8,1.6,5
66,Saturday,17,5,1,5
67,Saturday,18,5,1,5
68,Saturday,19,1,0.2,5
69,Saturday,20,7,1.4,5
70,Saturday,21,4,0.8,5
71,Saturday,22,5,1,5
72,Saturday,23,4,0.8,5
73,Sunday,0,3,0.75,6
74,Sunday,1,5,1.25,6
75,Sunday,2,3,0.75,6
76,Sunday,3,3,0.75,6
77,Sunday,4,1,0.25,6
78,Sunday,5,1,0.25,6
79,Sunday,6,0,0,6
80,Sunday,7,3,0.75,6
81,Sunday,8,1,0.25,6
82,Sunday,9,3,0.75,6
83,Sunday,10,6,1.5,6
84,Sunday,11,2,0.5,6
85,Sunday,12,4,1,6
86,Sunday,13,6,1.5,6
87,Sunday,14,6,1.5,6
88,Sunday,15,4,1,6
89,Sunday,16,8,2,6
90,Sunday,17,7,1.75,6
91,Sunday,18,1,0.25,6
92,Sunday,19,5,1.25,6
93,Sunday,20,7,1.75,6
94,Sunday,21,5,1.25,6
95,Sunday,22,5,1.25,6
96,Sunday,23,4,1,6
