year,val,network,show,show_rating,units
2002,4.5,WB,no data,no data,no data
2003,4.0,WB,7th Heaven,8.1,m
2004,4.2,WB,7th Heaven,7.2,m
2005,3.3,WB,Gilmore Girls,6.2,m
2006,,WB,,no data,no data
2007,,WB,,no data,no data
2008,,WB,,no data,no data
2009,,WB,,no data,no data
2010,,WB,,no data,no data
2011,,WB,,no data,no data
2012,,WB,,no data,no data
2002,4.2,UPN,no data,no data,no data
2003,3.4,UPN,All Of Us,4.7,m
2004,3.2,UPN,Kevin Hill,4,m
2005,4.1,UPN,America's Next Top Model 5,4.8,m
2006,,UPN,,no data,no data
2007,,UPN,,no data,no data
2008,,UPN,,no data,no data
2009,,UPN,,no data,no data
2010,,UPN,,no data,no data
2011,,UPN,,no data,no data
2012,,UPN,,no data,no data
2002,,PBS,,no data,no data
2003,,PBS,,no data,no data
2004,,PBS,,no data,no data
2005,,PBS,,no data,no data
2006,,PBS,,no data,no data
2007,,PBS,,no data,no data
2008,,PBS,,no data,no data
2009,,PBS,,no data,no data
2010,0.0,PBS,,no data,no data
2011,1.5,PBS,American Masters Billie Jean King,916,thousand
2012,1.7,PBS,Need to Know,659,thousand
2002,13.4,NBC,no data,no data,no data
2003,12.6,NBC,Friends,24.5,m
2004,10.6,NBC,E.R.,19.7,m
2005,9.9,NBC,Law and Order:SVU ,16.8,m
2006,11.0,NBC,Deal or No Deal,15.8,m
2007,9.9,NBC,Heroes,17,m
2008,8.3,NBC,Heroes,10.2,m
2009,7.6,NBC,Biggest Loser 8,9.9,m
2010,8.2,NBC,The Event,10.9,m
2011,7.5,NBC,Go On,9.7,m
2012,8.2,NBC,The Voice,12.3,m
2002,0.0,MyNetworkTV,,no data,no data
2003,0.0,MyNetworkTV,,no data,no data
2004,0.0,MyNetworkTV,,no data,no data
2005,0.0,MyNetworkTV,,no data,no data
2006,0.8,MyNetworkTV,Desire,1.5,m
2007,0.9,MyNetworkTV,Academy,1.2,m
2008,1.3,MyNetworkTV,Celebrity Expose,730,thousand
2009,1.4,MyNetworkTV,no data,no data,no data
2010,0.0,MyNetworkTV,,no data,no data
2011,0.0,MyNetworkTV,,no data,no data
2012,0.0,MyNetworkTV,,no data,no data
2002,1.2,ION,Body and Soul,1.1,m
2003,0.8,ION,America's Funniest Home Videos,900,thousand
2004,0.6,ION,America's Most Talented Kids,600,thousand
2005,0.6,ION,Palmetto Pointe,300,thousand
2006,0.6,ION,Charlie's Angels,695,thousand
2007,0.5,ION,48 Hours,400,thousand
2008,0.4,ION,48 Hours,350,thousand
2009,0.6,ION,Criminal Minds,705,thousand
2010,1.0,ION,no data,no data,no data
2011,1.0,ION,no data,no data,no data
2012,0.9,ION,no data,no data,no data
2002,7.1,FOX,no data,no data,no data
2003,6.0,FOX,24,11.6,m
2004,5.4,FOX,That '70s Show,7.8,m
2005,6.5,FOX,House,15.9,m
2006,7.5,FOX,House,19.7,m
2007,6.9,FOX,House,18.3,m
2008,7.7,FOX,House,14.8,m
2009,7.4,FOX,House,17.3,m
2010,6.5,FOX,Glee,12.5,m
2011,8.4,FOX,The X Factor,12.5,m
2012,7.2,FOX,The Simpsons,8.1,m
2002,,CW,some show,12,m
2003,,CW,some show,12,m
2004,,CW,some show,12,m
2005,0.0,CW,some show,12,m
2006,2.8,CW,America's Next Top Model,5.3,m
2007,2.8,CW,Smallville,5.2,m
2008,2.9,CW,90210,4.7,m
2009,2.2,CW,Vampire Diaries,4.9,m
2010,2.5,CW,Nikita,3.6,m
2011,1.6,CW,Vampire Diaries,3.1,m
2012,0.7,CW,Arrow,4.1,m
2002,14.0,CBS,no data,no data,m
2003,13.9,CBS,CSI,26.9,m
2004,13.6,CBS,CSI,30.6,m
2005,12.8,CBS,CSI,29,m
2006,13.0,CBS,CSI,22.6,m
2007,11.7,CBS,CSI,25.4,m
2008,11.3,CBS,CSI,23.5,m
2009,11.8,CBS,Navy NCIS,20.6,m
2010,12.5,CBS,Navy NCIS,19.4,m
2011,12.3,CBS,Two and a Half Men,28.7,m
2012,10.7,CBS,Navy NCIS,20.5,m
2002,9.9,ABC,no data,no data,no data
2003,10.6,ABC,My Wife and Kids,13.6,m
2004,10.0,ABC,Desperate Housewives,21.6,m
2005,12.2,ABC,Desperate Housewives,28.4,m
2006,12.3,ABC,Grey's Anatomy,25.4,m
2007,11.9,ABC,Grey's Anatomy,21,m
2008,12.3,ABC,Dancing with the Stars,21.4,m
2009,11.1,ABC,Dancing with the Stars,22.8,m
2010,9.6,ABC,Dancing with the Stars,21.3,m
2011,9.9,ABC,Dancing with the Stars,19,m
2012,8.3,ABC,Modern Family,14.4,m
