Income Group,Infant Deaths,Births,Population,Minimum Household Income,Maximum Household Income,Household Income,Poverty Rate,Male Life Expectancy,Female Life Expectancy,Infant Mortality Rate
1,2008,226762,14715774,20999,34907,31791.49,24.70342,71.85533,78.05793,8.855099
2,1874,209813,14744129,34908,37781,36377.99,19.63626,72.0526,78.15742,8.931763
3,1763,202882,14640736,37783,40556,39237.06,17.04129,73.36657,78.7324,8.68978
4,1590,214052,14815594,40570,42201,41441.01,16.29556,74.10257,79.37167,7.428102
5,1609,201646,14685787,42208,43616,42929.8,15.72997,74.18648,79.56462,7.97933
6,1643,210295,14802582,43618,44587,44180.66,14.73682,74.39545,79.6729,7.812834
7,1610,202920,14594316,44591,46308,45237.29,13.87647,74.34653,79.47282,7.934161
8,1695,228437,14866131,46328,47515,46772.53,14.16734,74.73156,79.76524,7.419989
9,1601,209674,14741623,47539,49818,48515.15,12.5365,74.93836,79.89545,7.635663
10,1378,206301,13794045,49820,50986,50267.29,12.95727,75.34276,80.26566,6.679561
11,1123,172168,11789904,50988,52544,51801.12,11.62972,75.86359,80.70026,6.522699
12,1385,206118,14171258,52554,53470,52853.73,12.68725,75.88689,80.71466,6.719452
13,1563,263535,17509912,53494,54731,53704.29,12.83947,76.45735,81.36787,5.930901
14,1619,247176,16278174,54733,56163,55377.4,11.26195,75.71484,80.48431,6.549989
15,1293,221583,14735665,56243,59278,57505.19,10.16014,76.12034,80.73318,5.835285
16,1084,165714,12269691,59299,61721,60713.65,9.123776,76.93584,81.21589,6.54139
17,1342,244631,17276148,61724,66641,63956.5,9.702583,77.37284,81.60525,5.485813
18,1156,202789,14806141,66690,73083,69386.63,7.545208,77.29388,81.56779,5.700506
19,844,191966,14479189,73107,79803,75500.34,6.874239,78.39504,82.33086,4.396612
20,958,205823,14992715,80020,107200,87171.25,5.600626,79.14439,82.89153,4.654485
