MO2,Q10round,treatment,pH,Exposure,trial
26.76220604,11ºC Data,2,7.15,11 ºC Immersed,Aug_2012
38.69991599,11ºC Data,2,7.15,11 ºC Immersed,Aug_2012
15.94386559,11ºC Data,2,7.15,11 ºC Immersed,Aug_2012
26.54690148,11ºC Data,2,7.15,11 ºC Immersed,Aug_2012
36.15955614,11ºC Data,2,7.15,11 ºC Immersed,Aug_2012
44.74047133,18ºC Data,2,7.15,11 ºC Immersed,Aug_2012
100.8416206,18ºC Data,2,7.15,11 ºC Immersed,Aug_2012
30.34892821,18ºC Data,2,7.15,11 ºC Immersed,Aug_2012
31.44760595,18ºC Data,2,7.15,11 ºC Immersed,Aug_2012
28.53609561,18ºC Data,2,7.15,11 ºC Immersed,Aug_2012
32.43670843,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
23.58561547,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
19.1141755,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
35.24309551,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
46.19465956,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
24.86459699,11ºC Data,2,7.15,11 ºC Immersed,Nov_2012
48.16983808,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
35.28863985,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
31.37201772,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
60.78613436,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
56.75304628,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
41.07250531,18ºC Data,2,7.15,11 ºC Immersed,Nov_2012
17.4830169,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
21.61547324,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
24.74363257,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
24.08622536,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
17.51860352,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
17.737025,11ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
32.54356165,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
24.57117304,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
51.43107348,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
54.40537954,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
33.255364,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
49.33493876,18ºC Data,4,7.15,25 ºC Emmersed,Nov_2012
17.30656217,11ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
15.96661803,11ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
64.85882079,11ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
31.06930718,11ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
25.03268499,11ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
34.29496852,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
29.37507756,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
31.0787278,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
74.07201981,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
17.37116163,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
30.17318622,18ºC Data,4,7.15,30 ºC Emmersed,Aug_2012
59.36257793,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
29.74963126,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
29.98950922,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
23.06164366,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
24.22597563,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
41.88392704,11ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
104.3236883,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
53.95790342,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
55.63108207,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
28.56904434,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
43.10551632,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
67.67002291,18ºC Data,6,7.15,11 ºC Emmersed,Aug_2012
28.84795677,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
26.80767418,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
20.27347443,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
22.86061649,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
28.73532279,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
15.7452949,11ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
37.6413244,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
56.16644329,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
36.34112802,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
29.40843009,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
50.30653782,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
29.29967902,18ºC Data,6,7.15,11 ºC Emmersed,Nov_2012
33.45838162,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
26.00165478,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
37.96996094,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
25.08993658,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
27.18059511,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
29.20419499,11ºC Data,2,7.6,11 ºC Immersed,Apr_2012
42.04361605,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
42.38559873,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
50.14360199,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
39.96413413,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
34.34129355,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
58.2354431,18ºC Data,2,7.6,11 ºC Immersed,Apr_2012
32.43670843,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
23.58561547,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
19.1141755,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
35.24309551,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
46.19465956,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
24.86459699,11ºC Data,2,7.6,11 ºC Immersed,Oct_2012
48.16983808,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
35.28863985,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
31.37201772,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
60.78613436,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
56.75304628,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
41.07250531,18ºC Data,2,7.6,11 ºC Immersed,Oct_2012
25.71423383,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
23.23410266,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
20.13501611,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
22.89557404,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
28.72770987,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
24.72296877,11ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
57.1206765,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
26.57852278,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
30.25291488,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
33.97392726,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
37.75298278,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
26.62348348,18ºC Data,4,7.6,25 ºC Emmersed,Apr_2012
17.4830169,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
21.61547324,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
24.74363257,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
24.08622536,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
17.51860352,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
17.737025,11ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
32.54356165,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
24.57117304,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
51.43107348,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
54.40537954,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
33.255364,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
49.33493876,18ºC Data,4,7.6,25 ºC Emmersed,Oct_2012
18.20651224,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
21.0809958,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
40.18514456,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
