state,obesity2013,obesity2012,obesity2011,obesity2010,obesity2009,obesity2008,obesity2007,obesity2006,obesity2005,poverty2013,poverty2012,poverty2011,poverty2010,poverty2009,poverty2008,poverty2007,poverty2006,poverty2005
Alabama,32.4,33,32,33,31.6,32.2,30.9,30.5,28.9,16.7,16.2,15.4,17.2,16.6,14.3,14.5,14.3,16.7
Alaska,28.4,25.7,27.4,25.2,25.4,27.1,28.2,26.2,27.4,10.9,10.0,11.7,12.5,11.7,8.2,7.6,8.9,10.0
Arizona,26.8,26,25.1,25.2,25.9,25.6,25.8,22.9,21.1,20.2,19.0,17.2,18.8,21.2,18.0,14.3,14.4,15.2
Arkansas,34.6,34.5,30.9,30.9,31.5,29.5,29.3,26.9,28,17.1,20.1,18.7,15.3,18.9,15.3,13.8,17.7,13.8
California,24.1,25,23.8,24.7,25.5,24.3,23.3,23.3,22.7,14.9,15.9,16.9,16.3,15.3,14.6,12.7,12.2,13.2
Colorado,21.3,20.5,20.7,21.4,19,19.1,19.3,18.2,17.8,10.6,11.9,13.2,12.3,12.3,11.0,9.8,9.7,11.4
Connecticut,25,25.6,24.5,23,21,21.4,21.7,20.6,20.1,11.3,10.3,10.1,8.6,8.4,8.1,8.9,8.0,9.3
Delaware,31.1,26.9,28.8,28.7,27.6,27.8,28.2,26,23.5,14.0,13.5,13.7,12.2,12.3,9.6,9.3,9.3,9.2
District of Columbia,22.9,21.9,23.8,22.4,20.1,22.3,22.2,22.5,21.7,21.3,18.4,19.9,19.5,17.9,16.5,18.0,18.3,21.3
Florida,26.4,25.2,26.6,27.2,26.5,25.2,24.1,23.1,22.8,14.9,15.3,14.9,16.0,14.6,13.1,12.5,11.5,11.1
Georgia,30.3,29.1,28,30.4,27.7,27.8,28.7,27.1,26.5,16.3,18.1,18.4,18.8,18.4,15.5,13.6,12.6,14.4
Hawaii,21.8,23.6,21.9,23.1,22.9,23.1,21.7,20.6,19.7,11.1,13.8,12.1,12.4,12.5,9.9,7.5,9.2,8.6
Idaho,29.6,26.8,27.1,26.9,25.1,25.2,25.1,24.1,24.5,12.9,14.4,15.7,13.8,13.7,12.2,9.9,9.5,9.9
Illinois,29.4,28.1,27.1,28.7,27.4,26.9,25.6,25.1,25.1,13.3,12.6,14.2,14.1,13.2,12.3,10.0,10.6,11.5
Indiana,31.8,31.4,30.8,30.2,30,27,27.4,27.8,27.2,11.6,15.2,15.6,16.3,16.1,14.3,11.8,10.6,12.6
Iowa,31.3,30.4,29,29.1,28.5,26.7,27.7,25.7,25.4,10.8,10.3,10.4,10.3,10.7,9.5,8.9,10.3,11.3
Kansas,30,29.9,29.6,30.1,28.8,28.1,27.7,25.9,23.9,13.2,14.0,14.3,14.5,13.7,12.7,11.7,12.8,12.5
