Soort,Geslacht,Prevalentie,Overleving
Head and neck,m,21.4,50.7
Esophagus,m,10.5,23.5
Stomach,m,5.4,35.2
Colon,m,29.7,65.5
Rectum,m,14.2,66.8
Liver,m,6.2,21
Gall bladder,m,1.7,19.6
Pancreas,m,8.1,11.3
Lung,m,53.5,15.8
Pleura and peritoneum,m,2,5.3
Skin,m,12.1,86.6
Breast,m,0.8,83.1
Prostate,m,75.5,95.2
Testicle,m,6.3,96.5
Kidney,m,11.1,74.6
Bladder,m,16,55.8
Brain,m,7.2,20.7
Thyroid,m,3.2,91.3
Head and neck,f,6.3,57.6
Esophagus,f,3,26
Stomach,f,3.3,43.7
Colon,f,21.2,67.2
Rectum,f,7.7,66.7
Liver,f,2.2,19.9
Gall bladder,f,1.3,17.3
Pancreas,f,6.3,11
Lung,f,23.4,22.6
Pleura and peritoneum,f,0.4,15.1
Skin,f,18.5,92.8
Breast,f,109.8,89.6
Cervix,f,8,69
Uterus,f,11.5,79.2
Ovary,f,7.1,42.7
Kidney,f,5.5,75.2
Bladder,f,3,48.6
Brain,f,4,22.3
Thyroid,f,9.4,95.6
