year,naics,description,exports,imports,netexports
2000,000,Total,781.9,-1218.0,-436.1
2001,000,Total,729.1,-1141.0,-411.9
2002,000,Total,693.1,-1161.4,-468.3
2003,000,Total,724.8,-1257.1,-532.4
2004,000,Total,814.9,-1469.7,-654.8
2005,000,Total,901.1,-1673.5,-772.4
2006,000,Total,1026.0,-1853.9,-828.0
2007,000,Total,1148.2,-1957.0,-808.8
2008,000,Total,1287.4,-2103.6,-816.2
2009,000,Total,1056.0,-1559.6,-503.6
2010,000,Total,1278.3,-1913.2,-634.9
2011,000,Total,1480.4,-2207.8,-727.4
2012,000,Total,1546.5,-2275.4,-728.9
2013,000,Total,1578.9,-2266.9,-688.0
2000,111,Agricultural Products,24.4,-11.7,12.7
2001,111,Agricultural Products,24.8,-11.3,13.5
2002,111,Agricultural Products,25.9,-11.7,14.2
2003,111,Agricultural Products,30.3,-13.0,17.4
2004,111,Agricultural Products,33.2,-14.3,18.9
2005,111,Agricultural Products,31.9,-15.9,16.0
2006,111,Agricultural Products,36.2,-17.3,18.9
2007,111,Agricultural Products,48.1,-19.6,28.5
2008,111,Agricultural Products,63.0,-22.5,40.5
2009,111,Agricultural Products,50.8,-21.5,29.3
2010,111,Agricultural Products,60.2,-24.0,36.2
2011,111,Agricultural Products,72.0,-28.8,43.1
2012,111,Agricultural Products,71.2,-29.3,41.9
2013,111,Agricultural Products,69.1,-31.8,37.3
2000,112,Livestock & Livestock Products,1.3,-3.1,-1.8
2001,112,Livestock & Livestock Products,1.3,-3.4,-2.1
2002,112,Livestock & Livestock Products,1.0,-3.4,-2.4
2003,112,Livestock & Livestock Products,1.2,-2.8,-1.6
2004,112,Livestock & Livestock Products,1.0,-2.5,-1.5
2005,112,Livestock & Livestock Products,1.1,-3.3,-2.1
2006,112,Livestock & Livestock Products,1.3,-4.1,-2.8
2007,112,Livestock & Livestock Products,1.4,-4.7,-3.3
2008,112,Livestock & Livestock Products,1.6,-4.4,-2.9
2009,112,Livestock & Livestock Products,1.4,-3.6,-2.2
2010,112,Livestock & Livestock Products,1.6,-4.1,-2.5
2011,112,Livestock & Livestock Products,1.9,-4.3,-2.3
2012,112,Livestock & Livestock Products,2.4,-4.7,-2.3
2013,112,Livestock & Livestock Products,2.4,-5.2,-2.8
2000,113,"Forestry Products, Nesoi",1.7,-1.4,0.3
2001,113,"Forestry Products, Nesoi",1.5,-1.2,0.3
2002,113,"Forestry Products, Nesoi",1.5,-1.3,0.2
2003,113,"Forestry Products, Nesoi",1.5,-1.6,-0.1
2004,113,"Forestry Products, Nesoi",1.7,-2.0,-0.3
2005,113,"Forestry Products, Nesoi",1.7,-2.3,-0.5
2006,113,"Forestry Products, Nesoi",1.8,-2.8,-1.0
2007,113,"Forestry Products, Nesoi",2.0,-2.7,-0.8
